ID,FNODEID,ENODEID,KORNAME,ROADLENGTH
1400030500,1400011200,1400011900,-,253
1400030600,1400011900,1400011200,-,236
1400030700,1400011300,1400011800,청춘길,260
1400030800,1400011800,1400011300,청춘길,259
1400030900,1400011300,1400012400,금강로,276
1400031000,1400012400,1400011300,금강로,276
1400031100,1400011400,1400011500,금양5로,143
1400031200,1400011500,1400011400,금양5로,143
1400031300,1400011500,1400001600,부곡로155번길,98
1400031400,1400001600,1400011500,부곡로155번길,98
1400031500,1400011500,1400012000,명륜로,130
1400031600,1400012000,1400011500,명륜로,124
1400031700,1400001600,1400011700,강변사이길,156
1400031800,1400011700,1400001600,강변사이길,155
1400031900,1400011600,1400011900,개좌길,212
1400032000,1400011900,1400011600,개좌길,210
1400032100,1400011700,1400012100,강변2로,100
1400032200,1400012100,1400011700,강변2로,100
1400032300,1400011900,1450016800,개좌길,2961
1400032400,1450016800,1400011900,개좌길,2962
1400032500,1400012000,1400001700,-,67
1400032600,1400001700,1400012000,-,67
1400032700,1400012000,1400001701,명륜로,161
1400032800,1400001701,1400012000,명륜로,154
1400032900,1400012000,1400013800,오륜대길,1098
1400033000,1400013800,1400012000,오륜대길,1098
1400033100,1400001700,1400012100,부산대학로,179
1400033200,1400012100,1400001700,부산대학로,179
1400033300,1400012100,1400012200,부산대학로,50
1400033400,1400012200,1400012100,부산대학로,50
1400033500,1400012100,1400012600,강변4로,266
1400033600,1400012600,1400012100,강변4로,272
1400033700,1400012200,1400012300,부산대학로,216
1400033800,1400012300,1400012200,부산대학로,216
1400033900,1400012200,1400012700,강변5로,270
1400034000,1400012700,1400012200,강변5로,276
1400034100,1400012300,1400012400,부산대학로,131
1400034200,1400012400,1400012300,부산대학로,131
1400034300,1400012300,1400012900,장전로,461
1400034400,1400012900,1400012300,장전로,461
1400034500,1400012400,1400012500,부산대학로,81
1400034600,1400012500,1400012400,부산대학로,81
1400034700,1400012400,1400013000,금강로,460
1400034800,1400013000,1400012400,금강로,460
1400034900,1400001800,1400012600,한사랑1로,168
1400035000,1400012600,1400001800,한사랑1로,168
1400035100,1400012600,1400012700,대부교,56
1400035200,1400012700,1400012600,대부교,56
1400035300,1400012600,1400012800,강변4로,176
1400035400,1400012800,1400012600,강변4로,170
1400035500,1400012700,1400013400,강변5로,522
1400035600,1400013400,1400012700,강변5로,517
1400035700,1400001900,1400012800,한사랑2로,203
1400035800,1400012800,1400001900,한사랑2로,203
1400035900,1400012800,1400013100,강변4로,331
1400036000,1400013100,1400012800,강변4로,331
1400036100,1400012900,1400013000,전원3길,126
1400036200,1400013000,1400012900,전원3길,126
1400036300,1400012900,1400013400,장전로,312
1400036400,1400013400,1400012900,장전로,312
1400036500,1400013000,1400013300,금강로,282
1400036600,1400013300,1400013000,금강로,278
1400036700,1400013100,1400002100,한사랑3로,345
1400036800,1400002100,1400013100,한사랑3로,345
1400036900,1400013100,1400013500,강변4로,228
1400037000,1400013500,1400013100,강변4로,228
1400037100,1400013200,1400013700,산성터널로,758
1400037200,1400013700,1400013200,산성터널로,777
1400037300,1400013300,1400013400,금정로149번길,127
1400037400,1400013400,1400013300,금정로149번길,127
1400037500,1400013300,1400013700,금강로,218
1400037600,1400013700,1400013300,금강로,218
1400037700,1400013400,1400013600,장전로,208
1400037800,1400013600,1400013400,장전로,208
1400037900,1400002101,1400013500,산성터널로,375
